"Reference","Value","Datasheet","Footprint","Qty","DNP","Mouser Part Number","Mouser Price/Stock"
"J3","Conn_01x05","~","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1","","",""
"U1","ESP32-S3-DEV-KIT-N8R8","","PCM_Espressif:ESP32-S3-DEV-KIT-N8R8","1","","",""
"U2","ADS1256_Breakout","http://www.ti.com/lit/ds/symlink/ads1243.pdf","ADS1256_Breakout:ADS1256_Breakout","1","","",""
"U3","~","","Levelshifter_Breakout:Levelshifter_Breakout","1","","",""
"J4,J9,J10,J11","Conn_01x02","~","-- verschiedene Werte --","4","","306-B2BXH2TV4LFSN",""
"J1,J5","Conn_01x04","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","2","","306-B4BXH2TV4LFSN",""
"J2","Conn_01x03","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","1","","306-BH3BXH2LFSN",""
"J7,J8","Conn_02x03_Top_Bottom","~","Connector_Molex:Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal","2","","538-26-01-3116",""
"D1","SS510B","~","Diode_SMD:D_SMA-SMB_Universal_Handsoldering","1","","621-SDT5A50SAF-13",""
"J6","USB_B","~","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","1","","640-USB1030-GF-P-B-B",""
"SW1","SW_DIP_x02","~","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","1","","655-1825360-1",""
"R1","100k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","","708-RNCF1206BTE100K",""
"PS1","N7805-1PH","https://www.meanwell.com/webapp/product/search.aspx?prod=N78","N7805-1PH:N78051PH","1","","709-N7805-1PH","https://www.mouser.co.uk/ProductDetail/MEAN-WELL/N7805-1PH?qs=7D1LtPJG0i2yQtENgJv8Bw%3D%3D"
"C1","10µF","~","Capacitor_SMD:CP_Elec_6.3x5.9","1","","710-865080743010",""
"C2,C3","330µF","~","Capacitor_SMD:CP_Elec_10x10","2","","710-865230657014",""
